The currently activated Python version 2.7.16 is not supported by the project (^3.9).
Trying to find and use a compatible version. 
Using python3 (3.9.6)
id,aggregated_by,aggregate_name,year,start_date,end_date,name,type,count,amount
1,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Recharge & bill payments,TOTAL,15263,6611459.8729725825
2,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Peer-to-peer payments,TOTAL,13119,91808345.86839552
3,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Merchant payments,TOTAL,1759,3266589.8469614363
4,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Financial Services,TOTAL,62,116250.43671861099
5,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Others,TOTAL,283,497094.6484417205
6,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Recharge & bill payments,TOTAL,14676,7242448.256212333
7,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Peer-to-peer payments,TOTAL,14481,107525358.66652842
8,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Merchant payments,TOTAL,4031,4702152.616619372
9,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Financial Services,TOTAL,124,113278.91371326067
10,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Others,TOTAL,377,671471.222589792
11,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Recharge & bill payments,TOTAL,16219,8171737.705916681
12,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Peer-to-peer payments,TOTAL,13767,101079821.10344616
13,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Merchant payments,TOTAL,3519,4428734.574846684
14,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Financial Services,TOTAL,50,158857.94315586874
15,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Others,TOTAL,215,232624.75992853564
16,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Peer-to-peer payments,TOTAL,18128,121493224.30754511
17,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Recharge & bill payments,TOTAL,13851,9538690.916424634
18,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Merchant payments,TOTAL,2920,5247500.487902376
19,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Financial Services,TOTAL,60,295937.2110898865
20,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Others,TOTAL,200,263177.5944158883
21,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Peer-to-peer payments,TOTAL,105458,665391395.715478
22,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Recharge & bill payments,TOTAL,84119,37160922.86506996
23,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Merchant payments,TOTAL,53090,78606979.05751458
24,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Financial Services,TOTAL,884,1469351.0852598653
25,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Others,TOTAL,1201,1077918.666433228
26,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Peer-to-peer payments,TOTAL,132772,748382044.7707307
27,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Recharge & bill payments,TOTAL,120911,43691961.26275121
28,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Merchant payments,TOTAL,85143,103707408.50908463
29,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Financial Services,TOTAL,960,2038521.5136710338
30,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Others,TOTAL,1628,1327080.0560584562
31,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Peer-to-peer payments,TOTAL,18324,142332401.79234773
32,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Recharge & bill payments,TOTAL,18268,10850414.023977457
33,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Merchant payments,TOTAL,4424,7752871.558217709
34,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Financial Services,TOTAL,66,208231.73071652642
35,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Others,TOTAL,216,332393.19201521645
36,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Recharge & bill payments,TOTAL,38125,17659622.73418829
37,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Peer-to-peer payments,TOTAL,20303,141728757.73517442
