id,aggregated_by,aggregate_name,year,users,app_opens,start_date,end_date
1,state,andaman-&-nicobar-islands,2019,18596,0,2019-01-01,2019-03-31
2,state,andaman-&-nicobar-islands,2019,21731,52640,2019-04-01,2019-06-30
3,state,andaman-&-nicobar-islands,2019,23931,171107,2019-07-01,2019-09-30
4,state,andaman-&-nicobar-islands,2019,25960,177012,2019-10-01,2019-12-31
5,state,andaman-&-nicobar-islands,2021,57758,1004336,2021-01-01,2021-03-31
6,state,andaman-&-nicobar-islands,2021,62095,2248223,2021-04-01,2021-06-30
7,state,andaman-&-nicobar-islands,2020,28368,193586,2020-01-01,2020-03-31
8,state,andaman-&-nicobar-islands,2020,32710,305072,2020-04-01,2020-06-30
9,state,andaman-&-nicobar-islands,2020,41335,515565,2020-07-01,2020-09-30
10,state,andaman-&-nicobar-islands,2020,52396,887208,2020-10-01,2020-12-31
11,state,andaman-&-nicobar-islands,2018,6740,0,2018-01-01,2018-03-31
12,state,andaman-&-nicobar-islands,2018,9405,0,2018-04-01,2018-06-30
13,state,andaman-&-nicobar-islands,2018,12149,0,2018-07-01,2018-09-30
14,state,andaman-&-nicobar-islands,2018,15222,0,2018-10-01,2018-12-31
15,state,tamil-nadu,2019,6296303,0,2019-01-01,2019-03-31
16,state,tamil-nadu,2019,7429609,33658961,2019-04-01,2019-06-30
17,state,tamil-nadu,2019,8428835,124690342,2019-07-01,2019-09-30
18,state,tamil-nadu,2019,9620493,155011717,2019-10-01,2019-12-31
19,state,tamil-nadu,2021,16632608,348801714,2021-01-01,2021-03-31
20,state,tamil-nadu,2021,17804542,343968474,2021-04-01,2021-06-30
21,state,tamil-nadu,2020,10872368,179908753,2020-01-01,2020-03-31
22,state,tamil-nadu,2020,12150786,144907447,2020-04-01,2020-06-30
23,state,tamil-nadu,2020,13643451,194683284,2020-07-01,2020-09-30
24,state,tamil-nadu,2020,15357586,288233552,2020-10-01,2020-12-31
25,state,tamil-nadu,2018,2104754,0,2018-01-01,2018-03-31
26,state,tamil-nadu,2018,2996036,0,2018-04-01,2018-06-30
27,state,tamil-nadu,2018,3900177,0,2018-07-01,2018-09-30
28,state,tamil-nadu,2018,5199878,0,2018-10-01,2018-12-31
29,state,lakshadweep,2019,1416,0,2019-01-01,2019-03-31
30,state,lakshadweep,2019,1747,4580,2019-04-01,2019-06-30
31,state,lakshadweep,2019,2117,15038,2019-07-01,2019-09-30
32,state,lakshadweep,2019,2427,17760,2019-10-01,2019-12-31
33,state,lakshadweep,2021,4577,47283,2021-01-01,2021-03-31
34,state,lakshadweep,2021,4896,40301,2021-04-01,2021-06-30
35,state,lakshadweep,2020,2772,21982,2020-01-01,2020-03-31
36,state,lakshadweep,2020,3187,29202,2020-04-01,2020-06-30
37,state,lakshadweep,2020,3644,32128,2020-07-01,2020-09-30
38,state,lakshadweep,2020,4179,41144,2020-10-01,2020-12-31
39,state,lakshadweep,2018,501,0,2018-01-01,2018-03-31
40,state,lakshadweep,2018,686,0,2018-04-01,2018-06-30
41,state,lakshadweep,2018,918,0,2018-07-01,2018-09-30
42,state,lakshadweep,2018,1156,0,2018-10-01,2018-12-31
43,state,telangana,2019,7963425,0,2019-01-01,2019-03-31
44,state,telangana,2019,9046007,80842302,2019-04-01,2019-06-30
45,state,telangana,2019,10090557,318124511,2019-07-01,2019-09-30
46,state,telangana,2019,11220691,399239044,2019-10-01,2019-12-31
47,state,telangana,2021,17149069,920040042,2021-01-01,2021-03-31
48,state,telangana,2021,18306880,905317692,2021-04-01,2021-06-30
49,state,telangana,2020,12306860,454723816,2020-01-01,2020-03-31
50,state,telangana,2020,13378191,367130505,2020-04-01,2020-06-30
51,state,telangana,2020,14590882,527781925,2020-07-01,2020-09-30
52,state,telangana,2020,15927797,764614235,2020-10-01,2020-12-31
53,state,telangana,2018,3315560,0,2018-01-01,2018-03-31
54,state,telangana,2018,4260115,0,2018-04-01,2018-06-30
55,state,telangana,2018,5138501,0,2018-07-01,2018-09-30
56,state,telangana,2018,6529679,0,2018-10-01,2018-12-31
57,state,manipur,2019,99527,0,2019-01-01,2019-03-31
58,state,manipur,2019,117747,464829,2019-04-01,2019-06-30
59,state,manipur,2019,136316,1594205,2019-07-01,2019-09-30
60,state,manipur,2019,155358,1855488,2019-10-01,2019-12-31
61,state,manipur,2021,312668,3709227,2021-01-01,2021-03-31
62,state,manipur,2021,335409,7269002,2021-04-01,2021-06-30
63,state,manipur,2020,177374,2175642,2020-01-01,2020-03-31
64,state,manipur,2020,215496,3011491,2020-04-01,2020-06-30
65,state,manipur,2020,258563,3552375,2020-07-01,2020-09-30
66,state,manipur,2020,288772,3783432,2020-10-01,2020-12-31
67,state,manipur,2018,29925,0,2018-01-01,2018-03-31
68,state,manipur,2018,46055,0,2018-04-01,2018-06-30
69,state,manipur,2018,61935,0,2018-07-01,2018-09-30
70,state,manipur,2018,82589,0,2018-10-01,2018-12-31
71,state,haryana,2019,4538767,0,2019-01-01,2019-03-31
72,state,haryana,2019,5178030,31929195,2019-04-01,2019-06-30
73,state,haryana,2019,5783752,118332587,2019-07-01,2019-09-30
74,state,haryana,2019,6366679,136721888,2019-10-01,2019-12-31
75,state,haryana,2021,9827905,266686683,2021-01-01,2021-03-31
76,state,haryana,2021,10530594,234052506,2021-04-01,2021-06-30
77,state,haryana,2020,7018770,157793468,2020-01-01,2020-03-31
78,state,haryana,2020,7682878,143650123,2020-04-01,2020-06-30
79,state,haryana,2020,8398816,188614769,2020-07-01,2020-09-30
80,state,haryana,2020,9129873,236101307,2020-10-01,2020-12-31
81,state,haryana,2018,1847357,0,2018-01-01,2018-03-31
82,state,haryana,2018,2447221,0,2018-04-01,2018-06-30
83,state,haryana,2018,3020398,0,2018-07-01,2018-09-30
84,state,haryana,2018,3793079,0,2018-10-01,2018-12-31
85,state,gujarat,2019,6652536,0,2019-01-01,2019-03-31
86,state,gujarat,2019,7574645,34890301,2019-04-01,2019-06-30
87,state,gujarat,2019,8429299,129441484,2019-07-01,2019-09-30
88,state,gujarat,2019,9323799,147973757,2019-10-01,2019-12-31
89,state,gujarat,2021,14670126,264732874,2021-01-01,2021-03-31
