id,aggregated_by,aggregate_name,year,start_date,end_date,brand,count,percentage
1,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Xiaomi,4576,0.24607442460744247
2,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Samsung,3567,0.19181544418154442
3,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Vivo,3420,0.18391051839105185
4,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Oppo,1600,0.08604000860400086
5,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Realme,897,0.04823617982361798
6,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,OnePlus,855,0.04597762959776296
7,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Motorola,561,0.0301677780167778
8,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Apple,515,0.027694127769412775
9,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Huawei,515,0.027694127769412775
10,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Lenovo,426,0.02290815229081523
11,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,Others,1664,0.0894816089481609
12,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Xiaomi,5296,0.24370714647278083
13,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Samsung,4165,0.19166168146886936
14,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Vivo,4102,0.18876259721135705
15,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Oppo,1905,0.08766278588191984
16,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Realme,1012,0.04656941696194377
17,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,OnePlus,950,0.04371634991486816
18,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Huawei,644,0.029635083521236942
19,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Motorola,630,0.028990842575123098
20,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Apple,569,0.026183792738484195
21,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Lenovo,477,0.021950209378307488
22,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,Others,1981,0.09116009387510929
23,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Xiaomi,5819,0.24315741088964105
24,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Vivo,4685,0.19577117546278885
25,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Samsung,4508,0.1883749112030421
26,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Oppo,2108,0.08808658225732313
27,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Realme,1158,0.04838911871630939
28,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,OnePlus,1045,0.04366720989511512
29,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Huawei,725,0.030295432702352597
30,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Motorola,660,0.02757929046007271
31,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Apple,630,0.026325686348251224
32,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Lenovo,483,0.020183026200325936
33,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,Others,2110,0.0881701558647779
34,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Xiaomi,6259,0.24110169491525424
35,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Vivo,5190,0.19992295839753466
36,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Samsung,4900,0.18875192604006163
37,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Oppo,2329,0.08971494607087828
38,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Realme,1329,0.051194144838212635
39,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,OnePlus,1124,0.04329738058551618
40,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Huawei,798,0.03073959938366718
41,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Motorola,682,0.026271186440677965
42,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Apple,678,0.026117103235747303
43,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Lenovo,488,0.018798151001540832
44,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,Others,2183,0.08409090909090909
45,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Vivo,13812,0.23913570414488036
46,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Xiaomi,13714,0.2374389694934035
47,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Samsung,10861,0.18804321479275599
48,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Oppo,5158,0.08930364624813879
49,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Realme,3419,0.05919526299387098
50,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,OnePlus,1773,0.030697046296616917
51,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Huawei,1575,0.027268949755877972
52,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Motorola,1062,0.018387063263963433
53,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Apple,1056,0.018283181550607708
54,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Tecno,796,0.013781640638526264
55,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,Others,4532,0.07846532082135808
56,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Vivo,15056,0.2424671873741847
57,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Xiaomi,14788,0.2381512199049843
58,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Samsung,11476,0.18481359207665674
59,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Oppo,5456,0.0878653675819309
60,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Realme,4034,0.06496497302520332
61,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,OnePlus,1981,0.031902729688380704
62,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Huawei,1559,0.025106691360012885
63,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Apple,1153,0.018568322731298815
64,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Motorola,1054,0.0169739914646912
65,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Tecno,974,0.015685642966422417
66,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,Others,4564,0.073500281826234
67,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Xiaomi,6803,0.23981246474901297
68,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Vivo,5880,0.20727580372250423
69,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Samsung,5335,0.1880640157924422
70,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Oppo,2557,0.09013677382966723
71,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Realme,1511,0.05326424139875917
72,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,OnePlus,1184,0.04173716864072194
73,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Huawei,891,0.03140862944162436
74,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Apple,735,0.02590947546531303
75,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Motorola,715,0.025204455724760294
76,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Lenovo,500,0.017625493513818386
77,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,Others,2257,0.0795614777213762
78,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Xiaomi,7805,0.2386120452461021
79,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Vivo,7122,0.21773158055640476
80,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Samsung,6030,0.1843472944053806
