The currently activated Python version 2.7.16 is not supported by the project (^3.9).
Trying to find and use a compatible version. 
Using python3 (3.9.6)
id,aggregated_by,aggregate_name,year,start_date,end_date,entity_name,entity_type,type,count,amount
1,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744103,pincodes,TOTAL,5742,19401964.77965755
2,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744101,pincodes,TOTAL,5156,15501306.227195919
3,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744102,pincodes,TOTAL,3925,16683547.094795756
4,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744105,pincodes,TOTAL,3553,11588669.48032856
5,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744104,pincodes,TOTAL,2833,9141657.219605077
6,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744211,pincodes,TOTAL,1511,5794838.401831552
7,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744202,pincodes,TOTAL,1112,3613381.294736007
8,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744107,pincodes,TOTAL,1029,3592930.2975779255
9,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744301,pincodes,TOTAL,920,4652963.41114777
10,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744112,pincodes,TOTAL,802,1893718.6537822199
11,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,south andaman,districts,TOTAL,25683,85501972.38780196
12,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,north and middle andaman,districts,TOTAL,3264,9561708.736298349
13,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,nicobars,districts,TOTAL,1539,7236059.549389593
14,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744104,pincodes,TOTAL,6142,15625676.560883244
15,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744103,pincodes,TOTAL,5847,23751450.067206983
16,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744101,pincodes,TOTAL,4863,19061125.41121897
17,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744102,pincodes,TOTAL,4120,18948733.987097777
18,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744105,pincodes,TOTAL,3500,13418692.199162653
19,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744202,pincodes,TOTAL,1153,3619993.3910789257
20,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744107,pincodes,TOTAL,1124,2967445.3902032813
21,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744211,pincodes,TOTAL,1047,3168331.9917352106
22,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744301,pincodes,TOTAL,1007,4849284.51925976
23,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744112,pincodes,TOTAL,763,2928099.608406143
24,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,south andaman,districts,TOTAL,28490,102530955.71341258
25,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,north and middle andaman,districts,TOTAL,3371,8612103.13788812
26,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,nicobars,districts,TOTAL,1828,9111650.82436246
27,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744103,pincodes,TOTAL,5680,19906337.014255583
28,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744101,pincodes,TOTAL,5606,18745152.093515635
29,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744104,pincodes,TOTAL,4786,15754793.354826454
30,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744102,pincodes,TOTAL,3643,14572605.602745283
